26% incorrect conflict label,Assignee,Article index,Conflict,Location correct,South Sudan / Liberation movement Conflict,Government / Liberation Movement Conflicts in general,Additional Notes
,Patra,359,0,Bentiu,no,,political in-fighting
,Patra,360,1,Bentiu,yes,,serious rights abuses were committed during an attack by opposition forces
,Patra,361,2,Bentiu,yes,,opposition forces committed war crimes 
,Patra,362,2,Bentiu,yes,,civilians were killed as they tried to flee from SS
,Patra,363,2,Bentiu,yes,,civilians were murdered 
,Patra,364,2,Unity,yes,,killings of hundreds of civilians
,Patra,365,2,Unity,no,,death of six rebels
,Patra,366,2,Bentiu,yes,,opposition forces were responsible for a massacre in Bentiu 
,Patra,367,2,Unity,yes,,rebels have burned an oil facility in Unity 
,Patra,368,0,Unity,no,,protection and the security situation
,Patra,369,0,Unity,no,,"prevent misuse of oil revenues, and coordinate mediation efforts"
,Patra,370,2,Unity,yes,,conflict has disrupted SS's oil production
,Patra,371,0,Unity,no,,church leaders are urging unity 
,Patra,372,2,Bentiu,yes,,rebel attacks on towns in two oil-producing states
,Patra,373,0,Bentiu,no,,denied the claims and accused the army of violating the ceasefire deal 
,Patra,374,0,Unity,no,,Health partners updated their mass casualty plan
,Patra,375,2,Unity,yes,,escalation of fighting in SS's Unity State
,Patra,376,2,Bentiu,yes,,fighting between the Government of SS and the SPLM 
,Patra,377,2,Unity,yes,,violent conflict in Unity 
,Patra,378,1,Unity,yes,,food insecurity and human rights violations persisting
,Patra,379,2,Bentiu,yes,,fighting between the Government of SS and the SPLM 
,Patra,380,2,Unity,yes,,ongoing large-scale violence in SS
,Patra,381,2,Unity,yes,,alarming gross violations' of international human rights
,Patra,382,2,Unity,yes,,violent clashes have recently escalated in SS
,,,,,,,
,Joery,383,2,Bentiu,yes,,The UNSR is being discussed for South Sudan calling for accountability and injustice fo rhuman rights violations comitted during the fighting.
,Joery,384,2,Bentiu,yes,,Discusses military attacks by South Sudans government forces on Rebels.
,Joery,385,2,Unity,yes,,Dicusses the ongoing violence in South Sudan and its recent attacks.
,Joery,386,2,Bentiu,yes,,Discusses the increase in military activity in South Sudan with a lot of people fleeing.
,Joery,387,1,Unity,yes,,Ongoing conflict and humanitarian crisis in South Sudan. Peopel are in need of aid.
,Joery,388,1,Unity,yes,,Minister of Africa is concerned about the fighting in South Sudan
,Joery,389,2,Unity,yes,,Discusses the intensified armed conflict in Unity State of South Sudan.
,Joery,390,1,South Unity State,yes,,People are getting raped by armed groups aligned with the country's military
,Joery,391,1,Unity,yes,,People have to flee their homes because the situation is worsening
,Joery,392,2,Unity,yes,,Discusses renewed conflict in South Sudan
,Joery,393,2,Unity,no,,Discusses crime in South Sudan
,Joery,394,1,Bentiu,no,,Food insecurity
,Joery,395,2,Unity,yes,,Ongoing conflict since 2013
,Joery,396,1,Unity,yes,,Delivery of life saving supplies in South Sudan
,Joery,397,0,Bentiu,no,,First cases of Cholera
,Joery,398,0,Unity,no,,emergency airlift operation
,Joery,399,1,Unity,yes,,South Sudan army being accused of rape and killing girls
,Joery,400,0,Bentiu,no,,A non related shooting
,Joery,401,1,yes,yes,,Report of an accusation of violence by the army against South Sudan population
,Joery,402,0,Unity,no,,Human rights report
,Joery,403,2,Unity,yes,,South Sudan government forces raped rebel forces
,Joery,404,2,Unity,yes,,Human rights report on military offensive in Unity State
,Joery,405,2,Unity,yes,,Horrific levels of violence in civil war
,Joery,406,0,Unity,no,,Release of some peace report
,Joery,407,2,Unity,yes,,South Sudan party carrying out war crimes again
,Joery,408,1,Unity,yes,,Human rights violation by South Sudanese army
,Joery,409,2,Unity,yes,,Brutal violence
,Joery,410,2,Unity,yes,,"Ongoing war, mass rape and torture"
,Joery,411,1,Unity,yes,,Worsening conditions in unity
,Joery,412,2,Unity,yes,,Discusses the fighting between army and rebels
,Joery,413,0,Bentiu,no,,Malaria and malnutrition in Bentiu
,Joery,414,0,Bentiu,no,,Malaria treatment in Bentiu
,Joery,415,0,Unity,no,,Talks about a power-sharing deal
,Joery,416,1,Unity,yes,,Aid to villages that have been cut off due to violence and risk famine
,Joery,417,0,Bentiu,yes,,Refugees from the conflict face major difficulties
,Joery,418,0,Bentiu,no,,Meeting between delegates of certain parties
,Joery,419,2,Unity,yes,,Effects of spiraling violence on the population of Unity
,Joery,420,2,Unity,yes,,Ongoing violence in Koch
,Joery,421,1,Unity,yes,,People taking shelter
,Joery,422,0,Bentiu,yes,,People are interviewed that live in UN protected shelters
,Joery,423,1,Unity,yes,,Peace treaty and ongoing violence
,Joery,424,2,Bentiu,yes,,ongoing conflict and peace efforts
,Joery,425,2,Unity,yes,,Civil war in South Sudan
,Joery,426,2,Unity,yes,,UN report on horrific activities that happen in the war
,Joery,427,2,Unity,yes,,About south sudanese army and rebels
,Joery,428,2,Unity,yes,,Report about rape and murder on both sides of war
,Joery,429,2,Unity,yes,,Report about violence and conflict in South Sudan
,Joery,430,2,Unity,yes,,Report about South Sudanese Army and its rape activities
,Joery,431,2,Unity,yes,,RPG used on UN compound
,Joery,432,1,Unity,yes,,Peace treaty
,Joery,433,1,Unity,yes,,Economic collapse due to ongoing war
,Joery,434,1,Unity,yes,,Chinese weapons funneled to rebels
,Joery,435,2,Unity,yes,,War crimes done by South Sudan army
,Joery,436,0,Unity,no,,Outbreak of Cholera
,Joery,437,2,Bentiu,yes,,How rebels aquired weapons
,Joery,438,0,Unity,no,,Report about how to grow economy
,Joery,439,2,Unity,yes,,Report about ongoing civil war
,Joery,440,1,Unity,yes,,Article about how people had to flee their bases in certain places
,Joery,441,1,Unity,yes,,Report about how South Sudan spends oil money on weapons
,Joery,442,2,Unity,yes,,Article about Civil war
,Joery,443,0,Unity,no,,South Sudan Lt. Gen accused of using money for personal gain
,Joery,444,0,Bentiu,no,,Results of cholera outbreak since 2016
,Joery,445,2,Unity,yes,,Discusses brutal attacks on civilians
,Joery,446,2,Unity,yes,,Renewed fighting between rebels and army
,Joery,447,1,Unity,no,,How oil companies helped killing civilians
,Joery,448,2,Bentiu,no,,African Union should persecute rapists and murderers
,Joery,449,0,Unity,no,,Feud between South Sudan presidant and his former rival
,Joery,450,0,Bentiu,no,,Report about malaria
,Joery,451,0,Bentiu,no,,Concerns about political movement and famine
,Joery,452,0,Bentiu,yes,,Peace accord
,Joery,453,0,Bentiu,no,,cholera
,Joery,454,0,Unity,no,,UK imposed sanctions on two county commissioners in South Sudan
,Joery,455,0,Unity,yes,,Aid is frequently manipulated by political elites
,Joery,456,2,Unity,yes,,Fighting between civilians
,Joery,457,1,Unity,yes,,Widespread human rights violations
,Joery,458,1,Unity,yes,,Report on widespread human rights violations
